model,env,error_type,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
smollm2-135m,coderepair,test_failure,copy,80.55141392961526,67.49380752060276,95.74321474453957,39,39,1.695729897469183,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,test_failure,sem,-0.2950907800442133,-0.633562010813218,0.06595542178704145,39,39,-0.26105672009957814,0.088,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,contact_not_found,G,-34.42848539352417,-36.418532609939575,-31.2953479886055,3,3,-12.53666296944866,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,contact_not_found,copy,33.32157058517138,29.920933723449707,35.264063477516174,3,3,11.276418021743064,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,contact_not_found,sem,1.1069148083527882,0.307512104511261,1.6388180553913116,3,3,1.5705093102288037,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,event_not_found,G,-18.748794496059418,-19.237476706504822,-18.42575567960739,3,3,-43.554637216350855,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,event_not_found,copy,17.28102970123291,16.08471179008484,18.547720670700073,3,3,14.015302466032729,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,event_not_found,sem,1.4677647948265076,0.6897560358047485,2.3410438895225525,3,3,1.7689110767962242,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,format_error,G,-22.855058556253258,-24.508547511087222,-21.086927784234284,22,22,-5.358618016263,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,format_error,copy,18.446663653308693,16.12449503601952,20.711587856032633,22,22,3.228006645333726,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,format_error,sem,4.408394902944565,3.429367125982588,5.372774692082947,22,22,1.8168876218594512,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,missing_argument,G,-17.254396443183605,-20.2270129966523,-13.648114641383293,13,12,-2.7444388828926183,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,missing_argument,copy,15.321203493154966,10.877118556573986,18.736915757283565,13,12,2.0690117552528,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,missing_argument,sem,1.9331929500286396,0.9533368138985319,3.1151682786643495,13,12,0.8559446033648229,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,permission_error,G,-44.37745404701967,-46.97738073708919,-42.17353569383805,13,13,-9.65609548231988,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,permission_error,copy,43.8731555388524,40.94233399675443,47.11558570953516,13,13,7.5195670702094874,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,permission_error,sem,0.5042985081672668,-0.3078653619839595,1.2612149561826982,13,13,0.33925557813149393,0.199,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,type_error,G,-18.927656678053047,-19.61902658847662,-18.23424800450985,13,13,-14.160829706225059,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,type_error,copy,17.237992772689232,15.50819926210321,18.906014355845173,13,13,5.2933042524018745,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,type_error,sem,1.6896639053638165,0.48179748001006933,2.9205834214503925,13,13,0.675257652209921,0.009,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,unexpected_argument,G,-18.979435132100033,-22.947001106463947,-14.799230249569968,13,13,-2.4130496781921433,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,unexpected_argument,copy,16.439180582761765,12.824953447798123,19.965168142146783,13,13,2.431175771131384,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,unexpected_argument,sem,2.5402545493382673,1.2712743513859235,3.9004232115470447,13,13,1.0029855694461183,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,unknown_tool,G,-18.59189145381634,-22.436738656427373,-15.449717763066293,13,10,-2.9900002462660447,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,unknown_tool,copy,16.623983355668877,13.931248137752215,20.054200732166112,13,10,2.782552314241291,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,unknown_tool,sem,1.9679080981474657,-0.011497695222496966,3.834360724581137,13,10,0.5457771444444537,0.043,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-360m,coderepair,runtime_error,G,-72.28321170608203,-86.72607240711649,-58.22413411075872,15,15,-2.4532651286440537,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,coderepair,runtime_error,copy,72.41539277434349,57.63532024751107,87.40022552981972,15,15,2.3489045397486827,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
