model,env,harness,metric,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen2.5-0.5b,toolshed,drop,exact_repeat_rate,0.7979166666666667,0.7875000000000001,0.8083333333333333,16,16,36.53976919754293,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,canonical_repeat_rate,0.7979166666666667,0.7875000000000001,0.8083333333333333,16,16,36.53976919754293,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,ok_call_rate,0.4444444444444445,0.2916666666666667,0.6041666666666666,24,24,1.0913012926441812,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,n_steps,4.333333333333333,3.2916666666666665,5.166666666666667,24,24,1.7997685036322495,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,gen_tokens,68.91666666666667,45.458333333333336,93.75104166666665,24,24,1.1129331324783263,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,prompt_tokens,2586.5416666666665,1967.3677083333334,3116.5427083333334,24,24,1.7626471572030296,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,prompt_tokens_per_step,586.3333333333333,576.7012152777777,596.1809027777778,24,24,23.511513969033466,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,truncated_rate,0.06944444444444445,0.0,0.17361111111111113,24,24,0.2951630263451236,0.246,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,prose_rate,0.2777777777777778,0.1388888888888889,0.4513888888888889,24,24,0.6922186552431729,0.0002,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,seconds,33.64131929477056,22.08610080728928,46.20366914446155,24,24,1.0888424556237266,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
