model,env,operator,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
llama3.2-1b,toolshed,tool_typo,sem,5.255699483056863,1.671378057450056,10.371151190251112,6,6,0.8271243056915505,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,type_swap,G,-3.209142416715622,-4.026507019996643,-2.2675478160381317,4,4,-3.2058921846313964,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,type_swap,copy,0.04935403416554133,-1.7296209707856178,1.6497960537672043,3,3,0.029087090895424283,0.717,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,type_swap,sem,3.082475148141384,2.643659070134163,3.6059906855225563,3,3,6.33309651101678,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
qwen2.5-0.5b,coderepair,drop_negation,G,-68.39405015323844,-97.02812699851181,-38.780805946354356,7,7,-1.6128622192544964,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,drop_negation,copy,68.70743822412831,38.9135306434972,97.14571140280792,7,7,1.6371451966240467,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,drop_negation,sem,-0.3133880708898817,-1.6460392821047987,0.7848234559808459,7,7,-0.17425247747730163,0.549,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,drop_return,G,-62.58670537386622,-96.23287294251578,-34.68465327237334,7,7,-1.3854048643414412,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,drop_return,copy,64.15585974710328,36.37101135935102,97.53179107819285,7,7,1.4004592124482815,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,drop_return,sem,-1.569154373237065,-3.5375812696559086,0.4672693525041853,7,7,-0.5302372537492162,0.11,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_arith,G,-51.999296120234895,-67.58638032163893,-36.70022603566094,7,7,-2.28489002737342,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_arith,copy,54.907426574400496,39.41783425517913,71.04598747837755,7,7,2.409314144617162,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_arith,sem,-2.908130454165595,-4.622613204377038,-1.360642240515781,7,7,-1.2105874234604688,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_bool,G,-55.71304164188249,-83.23373150149627,-33.15938400945494,7,7,-1.4891656252409455,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_bool,copy,56.983099430799484,35.46946873004947,83.4394419831889,7,7,1.5879272302783434,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_bool,sem,-1.2700577889169966,-2.6810917647821566,-0.031170930181230818,7,7,-0.6507287619460347,0.045,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_comparison,G,-76.79723495032106,-96.24970172994902,-52.384609416127205,7,7,-2.3452649255741274,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_comparison,copy,78.95496892929077,53.92397744155356,99.67333595241819,7,7,2.3223151923288845,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_comparison,sem,-2.15773397896971,-4.45638773563717,0.03279853505747659,7,7,-0.6596498241791517,0.054,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_comparison2,G,-86.62908343970776,-126.00583108266194,-51.101945166786514,6,6,-1.7072659885033616,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_comparison2,copy,88.02993507683277,52.13769287392497,126.82979902625084,6,6,1.759376501282929,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,flip_comparison2,sem,-1.4008516371250153,-4.3463480869929,0.8325952589511871,6,6,-0.387769647978236,0.293,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,index_shift,G,-77.30549158155918,-104.83864124615987,-54.08394997318586,6,6,-2.202758264583313,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,index_shift,copy,79.06175911923249,55.743115524450936,106.56448183457057,6,6,2.230937545546151,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,index_shift,sem,-1.7562675376733143,-2.304963707923889,-1.0501417418320973,6,6,-2.0610595700827417,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,off_by_one,G,-62.932377417882286,-78.48028087615967,-47.053755601247154,6,6,-2.8237431431121225,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,off_by_one,copy,66.12267168362935,50.45224640766779,82.33252350489299,6,6,2.90226682161266,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,off_by_one,sem,-3.1902942657470703,-5.680720694363117,-0.9028237064679464,6,6,-0.9335880683408996,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,undefined_name,G,-72.4333687921365,-91.83912644783656,-57.95687817533811,6,6,-3.0671344133645575,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
