model,env,harness,metric,n_paired,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen2.5-0.5b,toolshed,drop,ok_call_rate,24,-0.16666666666666666,-0.2465277777777778,-0.09019097222222348,24,24,-0.8049144823791294,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,n_steps,24,0.16666666666666666,0.0,0.4166666666666667,24,24,0.2951630263451236,0.2374,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,gen_tokens,24,2.2916666666666665,-14.209375,19.04270833333332,24,24,0.053128702571272224,0.7724,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,prompt_tokens,24,-177.79166666666666,-349.04375,26.880208333333258,24,24,-0.35998484149571863,0.042,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,prompt_tokens_per_step,24,-47.12500000000002,-63.944791666666674,-30.492187500000025,24,24,-1.0884670496542477,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,truncated_rate,24,0.05555555555555556,0.0,0.1388888888888889,24,24,0.2951630263451236,0.246,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,prose_rate,24,0.05555555555555556,0.01388888888888889,0.11111111111111112,24,24,0.43779751788545657,0.0254,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,drop,seconds,24,-12.611999362707138,-22.59812473083536,-2.468589343130593,24,24,-0.4900026400523602,0.0108,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,solved,24,0.0,0.0,0.0,24,24,,1.0,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,stuck,24,-0.16666666666666666,-0.3333333333333333,-0.041666666666666664,24,24,-0.4377975178854565,0.022,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,exact_repeat_rate,16,-0.23229166666666667,-0.375,-0.103125,16,16,-0.8067518949533923,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,canonical_repeat_rate,16,-0.23229166666666667,-0.375,-0.103125,16,16,-0.8067518949533923,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,ok_call_rate,24,0.0,0.0,0.0,24,24,,1.0,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,n_steps,24,0.0,0.0,0.0,24,24,,1.0,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,gen_tokens,24,2.75,0.16666666666666666,7.125,24,24,0.27850332594800836,0.016,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,prompt_tokens,24,-0.25,-9.041666666666666,6.458333333333333,24,24,-0.012707143533090751,0.8794,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,prompt_tokens_per_step,24,-0.041666666666666664,-1.5069444444444524,1.0763888888888953,24,24,-0.012707143533090675,0.8794,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,truncated_rate,24,0.027777777777777776,0.0,0.07638888888888888,24,24,0.26163405923614175,0.2348,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,prose_rate,24,0.0,0.0,0.0,24,24,,1.0,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,seconds,24,-18.736019651095074,-27.105985210835932,-11.099506855507691,24,24,-0.9122300319518607,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
