model,env,n_prefix_steps,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen2.5-0.5b,toolshed,0.0,G,-13.397059583967483,-17.00811605871659,-9.93619343838137,27,22,-1.3636728386398151,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,0.0,copy,7.782152079735641,2.1328218850752134,13.268345146293102,27,22,0.5768281746313283,0.009,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,0.0,sem,5.614907504231842,2.9913603834497433,8.49633872429175,27,22,0.8686330211618227,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,1.0,G,-14.575734844652272,-18.6437855019704,-10.911529471858987,59,39,-0.9919198356315714,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,1.0,copy,11.416347771504167,8.120056567458569,15.0077719627102,59,39,0.871274543764427,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,1.0,sem,3.159387073148105,2.003371598322678,4.551521004458604,59,39,0.7048659812640271,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,2.0,G,-12.09589045388358,-14.207976317033172,-9.49955370828058,14,10,-3.0068342151200285,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,2.0,copy,7.654204589979989,3.460591027899222,11.304791930649014,14,10,1.3145222520951485,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,2.0,sem,4.441685863903591,2.7449149603352825,6.430603198842569,14,10,1.5015552293714258,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen3-0.6b,toolshed,0.0,G,-18.62606668001727,-21.703352337685306,-15.812626860912639,19,15,-2.6600200840362733,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,0.0,copy,17.779949318617582,14.020677265981538,21.533738207050774,19,15,2.201561293851721,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,0.0,sem,0.8461173613996882,-1.2452984613755156,2.6733043553797033,19,15,0.2137541331228431,0.363,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,1.0,G,-22.040326661614113,-28.219918836375342,-15.90421000006346,38,28,-1.209719534830647,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,1.0,copy,19.169871847472482,12.568288633852628,25.544719378838135,37,27,1.0582272130346346,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,1.0,sem,2.0405124219864406,-0.003263852193154623,3.662329087518353,37,27,0.40764579773164156,0.012,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,2.0,G,-24.578963883898474,-28.632255025431515,-20.408977502137425,11,10,-3.5374041665263403,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,2.0,copy,15.95594409243627,11.3378920128569,19.897160351276394,11,10,2.166580325325168,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,2.0,sem,8.623019791462205,7.573843898177146,9.80928766209632,11,10,4.646228381030572,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
smollm2-1.7b,toolshed,0.0,G,-14.848299283534288,-16.877964847322023,-12.202913350512151,7,5,-3.367208886574316,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,0.0,copy,14.42770970692592,11.766058683705827,16.966945190603536,7,5,2.948382475108349,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,0.0,sem,0.4205895766083683,-0.8692129503935575,1.2834296466317028,7,5,0.2974377452150607,0.331,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,1.0,G,-6.887208918730418,-8.741811454296112,-5.959907650947571,3,2,-2.1581513012687394,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,1.0,copy,6.2797577778498335,5.303759068250656,8.231755197048187,3,2,2.0280425908402244,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,1.0,sem,0.6074511408805847,0.5100562572479248,0.6561485826969147,3,2,3.304680086670252,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,2.0,G,-14.601876641313234,-15.417017936706543,-14.194305993616581,3,2,-9.031507826215725,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,2.0,copy,11.11446483929952,10.666200160980225,12.01099419593811,3,2,6.072130217276692,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,2.0,sem,3.4874118020137153,3.4060237407684326,3.5281058326363564,3,2,16.224288651927687,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-135m,coderepair,0.0,G,-80.95995365400783,-91.81152417554718,-70.81455457493908,61,61,-1.8980912662007405,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,0.0,copy,82.36218353324249,72.24889352155515,93.27561931285213,61,61,1.926690079079714,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,0.0,sem,-1.402229879234658,-1.9053570525934462,-0.9118707107960201,61,61,-0.7001416155711534,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,0.0,G,-23.21178365415997,-25.47831431641057,-21.057312654286623,27,22,-3.8310622443133875,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,0.0,copy,23.037468127630376,21.173090088299634,25.122993597672494,27,22,4.235770037110067,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,0.0,sem,0.1743155265295947,-0.3575617395946358,0.6797061137855052,27,22,0.1273826773963047,0.495,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,1.0,G,-24.5162785154278,-27.770246574271603,-21.579141035293684,59,39,-1.9995986977343279,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,1.0,copy,21.67649668859223,18.269361472537874,25.377222696959137,59,39,1.599348830205923,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,1.0,sem,2.8397818268355675,2.05962312148689,3.6321653208889075,59,39,1.1116889501697411,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,2.0,G,-22.78044719355447,-25.261874652504922,-19.916430622935298,14,10,-4.6424834012740614,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,2.0,copy,19.158348432609014,17.575407886505126,21.118146020724218,14,10,4.97868891987865,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,2.0,sem,3.6220987609454562,1.826543009231488,5.397868709058583,14,10,1.29794260600208,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-360m,coderepair,0.0,G,-70.34886230876049,-79.27316146615892,-61.67253717174134,60,60,-2.0053315358000603,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,coderepair,0.0,copy,71.0197001794974,62.08438777443022,80.24283405919869,60,60,1.968111449410803,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,coderepair,0.0,sem,-0.6708378707369168,-1.160385214202106,-0.19937811707456932,60,60,-0.3450066377126359,0.006,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,0.0,G,-14.098968340290917,-15.85904700115132,-12.466809590101244,27,22,-3.1418783402583776,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,0.0,copy,13.238642861445745,11.294662374611846,15.477509632344201,27,22,2.549119573154418,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,0.0,sem,0.8603254788451724,0.060597651478435315,1.6567639186150491,27,22,0.4426775516324262,0.031,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,1.0,G,-19.920785298791984,-23.837026320052274,-16.413399994844784,59,39,-1.478079415693707,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,1.0,copy,17.607865340628866,14.14690715799839,21.506748482419383,59,39,1.3355452865060469,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,1.0,sem,2.312919958163116,1.8243022079478057,2.845395711921155,59,39,1.2878586248315846,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,2.0,G,-21.86049394096647,-25.2904571170316,-17.782343893647194,14,10,-3.6934400207841005,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,2.0,copy,15.145005209105355,10.151165902569439,19.069699048099654,14,10,2.1462962554536085,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,2.0,sem,6.7154887318611145,5.661580843105912,8.292670723299185,14,10,2.070008448067629,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
