env,family,n_models,slope_per_decade,intercept,r2,zero_crossing_params_b
coderepair,all,3,27.009892692409103,-302.0758490515136,0.9959940039132024,152.72026681683258
coderepair,SmolLM2,2,28.622306956671437,-315.318846167258,1.0,103.88240141423535
toolshed,all,6,9.509732338274814,-100.5617435121309,0.6367332922035616,37.55030356642393
toolshed,SmolLM2,3,8.891687642748169,-95.64737030724154,0.9739733898879008,57.14026244796032
toolshed,loo:-Llama-3.2-1B,5,8.4055031943804,-91.31638481838664,0.5551443623762344,73.09384467691588
toolshed,loo:-Qwen2.5-0.5B,5,9.840586035203573,-104.25461346067911,0.7812273877438205,39.29615708050955
toolshed,loo:-Qwen3-0.6B,5,9.700354649590045,-101.35098819280972,0.8119067782894238,28.06554496756263
toolshed,loo:-SmolLM2-1.7B,5,10.876750479236998,-112.15612480872002,0.6080694794214878,20.49024235252682
toolshed,loo:-SmolLM2-135M,5,7.935661670977447,-86.46348731683469,0.34149259924092945,78.6250961760557
toolshed,loo:-SmolLM2-360M,5,9.67973024440055,-102.16521306620878,0.6340684315914316,35.85516085289724
