model,env,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params,p_holm,published
qwen2.5-0.5b,coderepair,greedy_repeat_abstract,0.0,0.0,0.0,60,60,,1.0,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,greedy_repeat_fail,0.016666666666666666,0.0,0.05,60,60,0.12909944487358055,0.5232,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,greedy_repeat_pre,0.0,0.0,0.0,60,60,,1.0,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,margin_shift,-18.78282634889086,-21.262681982511033,-16.508568064601473,60,60,-2.010409091443598,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,p_repeat_fail,0.8331599556425592,0.7658597845311812,0.8930063608063884,60,60,3.2409806499070717,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,p_repeat_pre,0.07480407812397168,0.023093776375055962,0.1377196500348716,60,60,0.32735836652815054,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,p_repeat_shift,0.7583558775185875,0.6799165589274794,0.8305929667794325,60,60,2.4870494792968096,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,polarity,2.9482758097350596,2.2321693682546417,3.619974353164434,60,60,1.0632870971380466,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,repair,48.900046407928066,40.67574977935602,57.67835008851252,60,60,1.4486620636627061,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,sem,-1.8154235872129598,-2.4816045244038105,-1.1896390851649146,60,60,-0.7042765661254032,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,sem_per_token,-0.028409152144192748,-0.04461391840242566,-0.01069920351380457,60,60,-0.4153517534706838,0.0006,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,sem_succ,2.9482758097350596,2.2321693682546417,3.619974353164434,60,60,1.0632870971380466,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G,-13.910314309559762,-16.12477358001282,-11.816050378376154,100,48,-1.1181085553544983,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,0.0009000000000000001,True
qwen2.5-0.5b,toolshed,G_abstract,-2.8597479756549,-3.7110636935900616,-1.9926999700437045,100,48,-0.6572024232001143,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_early,-13.088035694696009,-15.09662605779721,-11.181176199320609,100,48,-1.1660781244256133,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_echo,-14.012902159579099,-16.40168324392842,-11.771009359303573,100,48,-1.107083422842675,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_instr,-13.891340291537345,-16.171056152974792,-11.733954903759509,100,48,-1.1010938186356267,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_k2,-17.516378812892363,-19.653495696005155,-15.517877027526266,100,48,-1.49700404561865,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_k3,-18.690855393591338,-20.773219003808247,-16.74619079448337,100,48,-1.6698210035221197,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_other,-2.2036472454294564,-3.2279459388181717,-1.1977787771721486,100,48,-0.43988209099726017,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_terse,-13.67945882115513,-16.00441454465209,-11.549977789934482,100,48,-1.0823226323855146,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_verbose,-13.59959497410804,-15.88313813034911,-11.498248508537065,100,48,-1.1071648452044178,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_negative,0.9,0.8404255319148937,0.9514563106796117,100,48,2.98496231131986,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_per_token,-0.9421988870096745,-1.1404747939420858,-0.7523857567517147,100,48,-0.9239007542938507,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,copy,9.908414889313281,7.5858592692260896,12.247293479860916,100,48,0.7929354874061099,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,copy_pad,9.78838250953704,7.627119109887025,11.932383222254181,100,48,0.8506732877025299,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,copy_per_token,0.700175123206264,0.5061090843557379,0.9031931903844881,100,48,0.6915368087306237,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,copy_succ,11.008200327120722,8.767381097461888,13.372816636813093,100,48,0.8475363422189904,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_abstract,-11.050566333904863,-12.79874083295748,-9.385770233401779,100,48,-1.1141354156428322,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_abstract_min,-13.01489466227591,-15.042537089474797,-11.099140205339214,100,48,-1.153245564795544,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_early,-0.8222786148637533,-1.3607490252872758,-0.2645843662438117,100,48,-0.27543774921853936,0.0032,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_echo,0.10258785001933575,-0.22012565255397146,0.4373526725434779,100,48,0.06720656651263772,0.535,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_instr,-0.01897401802241802,-0.20053786285551023,0.15135726866261343,100,48,-0.023937508380158554,0.803,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_k2,3.6060645033326,3.124602560153002,4.082028800900297,100,48,1.658600028981016,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_k3,4.780541084031574,4.180252507473829,5.37116339315989,100,48,1.678271176326224,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_other,-11.706667064130306,-13.284689927094673,-10.17950844491882,100,48,-1.235583191078801,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_terse,-0.2308554884046316,-0.6403900972214926,0.1976134488703686,100,48,-0.10192299342677393,0.2698,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_verbose,-0.31071933545172215,-0.6464551034481042,0.02451128969739998,100,48,-0.2011002800579872,0.0696,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,greedy_repeat_abstract,0.0,0.0,0.0,100,48,,1.0,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,greedy_repeat_fail,0.03,0.0,0.0673076923076923,100,48,0.1749815896059666,0.0854,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,greedy_repeat_pre,0.0,0.0,0.0,100,48,,1.0,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,margin_shift,-15.158615477532148,-17.71053180563239,-12.79363224874215,100,48,-1.073528063115443,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,p_repeat_fail,0.6018720849585286,0.5277524168229497,0.6807273160466517,100,48,1.512088670278428,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,p_repeat_pre,0.012987098963643653,0.004083175249650118,0.027545283469931386,100,48,0.1954428523851752,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,p_repeat_shift,0.5888849859948849,0.5160227862589033,0.6655265929327991,100,48,1.4825833658184187,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,polarity,2.902113982439041,1.7328727775011532,4.08441559076801,100,48,0.565219784332375,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,repair,-1.2483011679723859,-2.4577289135060525,0.033108138889098894,100,48,-0.21578294230159553,0.0432,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,sem,4.001899420246482,2.815645471185524,5.280343221776676,100,48,0.7995353143912717,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,sem_pad,4.121931800022721,3.0378669368372133,5.305012812442347,100,48,0.8220897677011919,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,sem_per_token,0.24202376380341048,0.16610533273916844,0.32378264006448465,100,48,0.698035819802964,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,sem_succ,2.902113982439041,1.7328727775011532,4.08441559076801,100,48,0.565219784332375,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen3-0.6b,toolshed,G,-21.49700415859629,-25.070014363311202,-18.184278807518126,68,39,-1.4914249844898682,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,0.0009000000000000001,True
qwen3-0.6b,toolshed,G_abstract,-6.596882165402675,-8.06748487402384,-5.249286618662894,67,39,-1.241236738502986,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,G_negative,0.9411764705882353,0.8771929824561403,0.9864864864864865,68,39,3.9704793013379303,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,G_per_token,-1.469656950025089,-1.735977487239118,-1.2131951522364284,68,39,-1.3268499490006012,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,copy,18.24805493174649,14.752016558305115,21.949991102909912,67,39,1.2701231492720426,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,copy_per_token,1.3216512222380852,1.0510561629177082,1.6011758954789845,67,39,1.1540532722295014,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,copy_succ,21.03047264299205,17.853783642547516,24.381486694637616,68,39,1.5210527900910733,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,delta_abstract,-14.433686306436003,-17.871385488996765,-11.356350832987204,67,39,-1.0691778149442572,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,greedy_repeat_abstract,0.0,0.0,0.0,67,39,,1.0,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,greedy_repeat_fail,0.0,0.0,0.0,68,39,,1.0,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,greedy_repeat_pre,0.0,0.0,0.0,68,39,,1.0,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,margin_shift,-17.535087784242076,-20.689034018753148,-14.608956949039337,68,39,-1.2780161391682725,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,p_repeat_fail,0.2956989706460681,0.19630126543273468,0.3989697608232971,68,39,0.6825403920373563,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,p_repeat_pre,0.005603547429450872,2.4566580705012886e-05,0.014150923466042454,68,39,0.1725602353155227,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,p_repeat_shift,0.29009542321661724,0.19253626115028918,0.39272087986023974,68,39,0.6817554437132257,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,polarity,0.46653151560424116,-0.40568219875751754,1.282383397015842,68,39,0.10746762826652591,0.2714,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,repair,3.9619163743542125,2.2483868043095394,5.7498561694512675,68,39,0.5826783244257123,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,sem,2.7825135400921885,1.55760391696421,3.962628793189421,67,39,0.5506373498685225,0.0001,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,sem_per_token,0.12620276752920526,0.05488596356715466,0.1958649133435574,67,39,0.40686989296203047,0.0002,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
qwen3-0.6b,toolshed,sem_succ,0.46653151560424116,-0.40568219875751754,1.282383397015842,68,39,0.10746762826652591,0.2714,Qwen3,Qwen3-0.6B,0.596,8.775246259740236,,True
smollm2-1.7b,toolshed,G,-13.907681926521473,-15.53270853445428,-12.354780934908735,100,45,-1.8016626830252773,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,0.0009000000000000001,True
smollm2-1.7b,toolshed,G_abstract,-4.36189877988305,-5.080722856999061,-3.5678917536162773,100,45,-1.2626963172484504,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,G_negative,1.0,1.0,1.0,100,45,,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,G_per_token,-0.7065458301441726,-0.8056581980098304,-0.6063542939269339,100,45,-1.5705679697665131,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,copy,11.670618379092776,10.365907680648618,12.96600729669164,100,45,1.7436037868003846,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,copy_per_token,0.60909140023041,0.5127263575111959,0.7062307585119953,100,45,1.3226158010482603,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,copy_succ,12.921178711480461,11.48158143833474,14.476903244754052,100,45,1.6187040354727797,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,delta_abstract,-9.545783146638422,-11.242541726205665,-8.052492927310503,100,45,-1.2732611333847237,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,greedy_repeat_abstract,0.0,0.0,0.0,100,45,,1.0,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,greedy_repeat_fail,0.27,0.17391304347826086,0.38135811637253186,100,45,0.6051151820617656,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,greedy_repeat_pre,0.0,0.0,0.0,100,45,,1.0,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,margin_shift,-11.606561425561086,-13.386662784015737,-9.967056001327192,100,45,-1.2430950903976126,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,p_repeat_fail,0.47593712799929144,0.39316883019996446,0.570057687754823,100,45,1.1527447433777465,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,p_repeat_pre,0.04964266338722042,0.020999177491070407,0.08450071020369579,100,45,0.2950174170174969,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,p_repeat_shift,0.42629446461207104,0.35277489775677834,0.5059636990873624,100,45,1.0694420355998415,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,polarity,0.9865032150410116,0.5908961584303742,1.4133771226878553,100,45,0.4029789687173036,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,repair,2.3011205009603874,1.0882941855081156,3.5917350390301532,100,45,0.409434433186077,0.0002,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,sem,2.2370635474286975,1.4368137189555015,3.115488611055133,100,45,0.5606221635707727,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,sem_per_token,0.0974544299137625,0.06472208484698311,0.1334927575691479,100,45,0.5508344471406444,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-1.7b,toolshed,sem_succ,0.9865032150410116,0.5908961584303742,1.4133771226878553,100,45,0.4029789687173036,0.0001,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411,,True
smollm2-135m,coderepair,G,-82.6099373852053,-93.8885084442554,-71.78506009838274,62,62,-1.8667897911456528,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,0.0009000000000000001,True
smollm2-135m,coderepair,G_abstract,1.5576173836185085,0.9255837505863559,2.227986023502965,62,62,0.5943252243719775,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,G_negative,1.0,1.0,1.0,62,62,,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,G_per_token,-1.228372662663237,-1.3206643329704981,-1.136002973283894,62,62,-3.251421048851674,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,copy,83.99645147544723,73.15885777460231,95.33430405305998,62,62,1.895822869463004,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,copy_per_token,1.2549367692854922,1.1591540667182978,1.3514020532843878,62,62,3.208705305496884,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,copy_succ,84.17924751293275,73.43292880027045,95.40489173567583,62,62,1.9165582423732914,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,delta_abstract,-84.1675547688238,-95.61975176870342,-73.28819448029803,62,62,-1.888715503871413,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,greedy_repeat_abstract,0.0,0.0,0.0,62,62,,1.0,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,greedy_repeat_fail,0.0,0.0,0.0,62,62,,1.0,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,greedy_repeat_pre,0.0,0.0,0.0,62,62,,1.0,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,margin_shift,-16.278665873312182,-19.011321705315382,-13.794142314527305,62,62,-1.5381671320683534,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,p_repeat_fail,0.9509567652763722,0.9173283225179298,0.9777549838279371,62,62,7.777286210769149,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,p_repeat_pre,0.1110928333534953,0.052825835859757704,0.17968314877261424,62,62,0.43350530080894556,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,p_repeat_shift,0.8398639319228768,0.7703100266611053,0.9014214651060809,62,62,3.169668854348721,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,polarity,-1.569310127727447,-1.9982621628430581,-1.1498831117946293,62,62,-0.9101453146178242,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,repair,66.33127151189312,55.74911783457764,77.48635770870793,62,62,1.524533103215518,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,sem,-1.3865140902419244,-1.8840901842160571,-0.9127645117140586,62,62,-0.6966891952106083,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,sem_per_token,-0.026564106622255872,-0.037186214199548186,-0.017197795717098546,62,62,-0.6579686055978166,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,coderepair,sem_succ,-1.569310127727447,-1.9982621628430581,-1.1498831117946293,62,62,-0.9101453146178242,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
smollm2-135m,toolshed,G,-23.92104851782322,-25.859129042775418,-22.08717724903962,100,48,-2.375503539093028,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,0.0009000000000000001,True
smollm2-135m,toolshed,G_abstract,-2.2367299818992614,-3.4146186456151675,-1.0523003335931929,100,48,-0.41408523260546704,0.0001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007,,True
